AD_LEVEL,TA_ID,TAMBON_E,AM_ID,AMPHOE_E,CH_ID,CHANGWAT_E,LAT,LONG
4,560705,Ban Lao,5607,Mae Chai ,56,Phayao,19.399,99.859
4,820706,Bang Riang,8207,Thap Put,82,Phang-nga,8.610,98.654
4,402615,,4026,Wiang Kao,40,Khon Kaen,16.625,102.206
4,370205,Pa Ko,3702,Chanuman,37,Amnat Charoen,16.046,104.860
4,380304,,3803,So Phisai,38,Bueng Kan,18.093,103.489
4,210110,Kachet,2101,Mueang Rayong,21,Rayong,12.843,101.456
4,180802,Kabok Tia,1808,Noen Kham,18,Chai Nat,15.036,99.816
4,560801,Phu Sang,5608,Phu Sang,56,Phayao,19.671,100.378
4,210502,Nong Lalok,2105,Ban Khai,21,Rayong,12.821,101.256
4,420802,Nong Phue,4208,Tha Li,42,Loei,17.678,101.448
4,390502,Ban Khok,3905,Suwannakhuha,39,Nong Bua Lam Phu,17.528,102.199
4,560803,Thung Kluai,5608,Phu Sang,56,Phayao,19.606,100.417
4,410304,Kut Mak Fai,4103,Nong Wua So,41,Udon Thani,17.057,102.645
4,302601,Samnak Takhro,3026,Thepharak,30,Nakhon Ratchasima,15.297,101.564
4,200708,Bo Win,2007,Si Racha,20,Chon Buri,13.052,101.093
4,920409,Suso,9204,Palian,92,Trang,7.236,99.673
4,630115,Taluk Klang Thung,6301,Mueang Tak,63,Tak,16.861,99.249
4,360508,Khu Mueang,3605,Nong Bua Daeng,36,Chaiyaphum,16.012,101.723
4,230107,Wang Krachae,2301,Mueang Trat,23,Trat,12.272,102.479
4,550406,Bua Yai,5504,Na Noi,55,Nan,18.350,100.570
4,961202,Du Song Yo,9612,Chanae,96,Narathiwat,6.123,101.643
4,502103,Mae Thalop,5021,Chai Prakan,50,Chiang Mai,19.730,99.247
4,200705,Nong Kham,2007,Si Racha,20,Chon Buri,13.134,101.038
4,420406,Chom Charoen,4204,Pak Chom,42,Loei,17.700,101.922
4,250808,Hua Wa,2508,Si Maha Phot,25,Prachin Buri,13.908,101.461
4,470106,Chiang Khruea,4701,Mueang Sakon Nakhon,47,Sakon Nakhon,17.279,104.123
4,361304,Huai Yang,3613,Khon San,36,Chaiyaphum,16.536,101.896
4,621002,Wang Cha-On,6210,Bueng Samakkhi,62,Kamphaeng Phet,16.233,99.926
4,630701,Phop Phra,6307,Phop Phra,63,Tak,16.402,98.697
4,161104,Chon Sombun,1611,Nong Muang,16,Lop Buri,15.288,100.763
4,860111,Wang Mai,8601,Mueang Chumphon,86,Chumphon,10.523,99.054
4,640309,Ban Namphu,6403,Khiri Mat,64,Sukhothai,16.815,99.632
4,520105,Phrabat,5201,Mueang Lampang,52,Lampang,18.255,99.518
4,471103,Wa Yai,4711,Akat Amnuai,47,Sakon Nakhon,17.630,103.926
4,360113,Tha Hin Ngom,3601,Mueang Chaiyaphum,36,Chaiyaphum,16.021,101.993
4,300201,Chae,3002,Khon Buri,30,Nakhon Ratchasima,14.569,102.278
4,221002,Phluang,2210,Khao Khitchakut,22,Chanthaburi,12.822,102.106
4,630108,Nam Ruem,6301,Mueang Tak,63,Tak,16.897,99.168
4,570206,Don Sila,5702,Wiang Chai,57,Chiang Rai,19.805,100.005
4,410114,Sam Phrao,4101,Mueang Udon Thani,41,Udon Thani,17.456,102.886
4,441202,Na Pho,4412,Kut Rang,44,Maha Sarakham,16.077,102.907
4,810303,Ko Klang,8103,Ko Lanta,81,Krabi,7.751,99.063
4,451002,Na Ngam,4510,Selaphum,45,Roi Et,15.911,103.940
4,640901,Ban Mai Chai Mongkhon,6409,Thung Saliam,64,Sukhothai,17.251,99.652
4,920605,Bang Di,9206,Huai Yot,92,Trang,7.841,99.494
4,630705,Ruam Thai Phatthana,6307,Phop Phra,63,Tak,16.440,98.786
4,390405,Na Kok,3904,Si Bun Rueang,39,Nong Bua Lam Phu,16.904,102.201
4,460711,Khlong Kham,4607,Yang Talat,46,Kalasin,16.456,103.338
4,160902,Yang Rak,1609,Khok Charoen,16,Lop Buri,15.366,100.935
4,660804,Thai Thung,6608,Tap Khlo,66,Phichit,16.086,100.618
4,320605,Dan,3206,Kap Choeng,32,Surin,14.465,103.709
4,380602,,3806,Bueng Khong Long,38,Bueng Kan,17.941,104.075
4,950306,Khuean Bang Lang,9503,Bannang Sata,95,Yala,6.142,101.309
4,571007,Chedi Luang,5710,Mae Suai,57,Chiang Rai,19.569,99.546
4,630106,Mai Ngam,6301,Mueang Tak,63,Tak,16.972,99.186
4,930703,Tapaen,9307,Si Banphot,93,Phatthalung,7.645,99.878
4,501701,Doi Tao,5017,Doi Tao,50,Chiang Mai,17.897,98.731
4,471203,Kham Sa-At,4712,Sawang Daen Din,47,Sakon Nakhon,17.511,103.351
4,521103,Mae Kua,5211,Sop Prap,52,Lampang,17.956,99.353
4,710105,Kaeng Sian,7101,Mueang Kanchanaburi,71,Kanchanaburi,14.103,99.501
4,310803,Nong Mai Ngam,3108,Ban Kruat,31,Buri Ram,14.344,102.997
4,650807,Tha Muen Ram,6508,Wang Thong,65,Phitsanulok,16.691,100.514
4,411703,Khuea Nam,4117,Ban Phue,41,Udon Thani,17.565,102.646
4,360601,Ban Kok,3606,Chatturat,36,Chaiyaphum,15.467,101.902
4,530904,Namphi,5309,Thong Saen Khan,53,Uttaradit,17.581,100.299
4,340305,Huai Phai,3403,Khong Chiam,34,Ubon Ratchathani,15.420,105.551
4,270606,Pa Rai,2706,Aranyaprathet,27,Sa kaeo,13.745,102.585
4,230302,Saen Tung,2303,Khao Saming,23,Trat,12.398,102.382
4,961201,Chanae,9612,Chanae,96,Narathiwat,6.077,101.693
4,600802,Phanom Rok,6008,Tha Tako,60,Nakhon Sawan,15.704,100.442
4,330405,Sang Mek,3304,Kantharalak,33,Si Sa Ket,14.643,104.729
4,900404,Khlong Sai,9004,Na Thawi,90,Songkhla,6.741,100.603
4,390105,Hua Na,3901,Mueang Nong Bua Lam Phu,39,Nong Bua Lam Phu,17.032,102.390
4,490702,Non Yang,4907,Nong Sung,49,Mukdahan,16.490,104.278
4,300604,Si Suk,3006,Chakkarat,30,Nakhon Ratchasima,14.874,102.385
4,620516,Khlong Sombun,6205,Khlong Khlung,62,Kamphaeng Phet,16.250,99.543
4,470203,Na Phiang,4702,Kusuman,47,Sakon Nakhon,17.367,104.216
4,900408,Thap Chang,9004,Na Thawi,90,Songkhla,6.586,100.695
4,300707,Tha Yiam,3007,Chok Chai,30,Nakhon Ratchasima,14.716,102.237
4,630201,Tak Ok,6302,Ban Tak,63,Tak,17.066,99.107
4,670202,Dong Khu,6702,Chon Daen,67,Phetchabun,16.131,100.677
4,191105,Lam Somphung,1911,Muak Lek,19,Saraburi,15.007,101.381
4,341906,Na Pho,3419,Phibun Mangsahan,34,Ubon Ratchathani,15.069,105.128
4,160403,Sila Thip,1604,Chai Badan,16,Lop Buri,15.314,101.087
4,420505,Phon Sung,4205,Dan Sai,42,Loei,17.277,101.282
4,920503,Kalase,9205,Sikao,92,Trang,7.744,99.326
4,161003,Nong Ri,1610,Lam Sonthi,16,Lop Buri,15.282,101.319
4,900505,Tha Muang,9005,Thepha,90,Songkhla,6.742,101.001
4,930512,Phanang Tung,9305,Khuan Khanun,93,Phatthalung,7.759,100.140
4,380104,,3801,Bueng Kan,38,Bueng Kan,18.406,103.380
4,410302,Nong O,4103,Nong Wua So,41,Udon Thani,17.187,102.541
4,860206,Tha Kham,8602,Tha Sae,86,Chumphon,10.660,99.105
4,640607,Ko Ta Liang,6406,Si Samrong,64,Sukhothai,17.111,99.908
4,160309,Wang Phloeng,1603,Khok Samrong,16,Lop Buri,15.062,100.841
4,501104,Pa Nai,5011,Phrao,50,Chiang Mai,19.440,99.261
4,850304,Ban Na,8503,Papoe,85,Ranong,9.553,98.740
4,540601,Ban Nun,5406,Song,54,Phrae,18.437,100.234
4,302503,Raroeng,3025,Wang Nam Khiao,30,Nakhon Ratchasima,14.574,101.731
4,302902,Ban Yang,3029,Lamtaman Chai,30,Nakhon Ratchasima,15.250,102.944
4,760404,Khao Yai,7604,Cha-am,76,Phetchaburi,12.793,99.894
4,301509,Krachon,3015,Phimai,30,Nakhon Ratchasima,15.443,102.670
4,841715,Khao Hua Khwai,8417,Phunphin,84,Surat Thani,9.039,99.267
4,380803,,3808,Bung Khla,38,Bueng Kan,18.218,104.010
4,630607,Mae Pa,6306,Mae Sot,63,Tak,16.757,98.586
4,711102,Klon Do,7111,Dan Makham Tia,71,Kanchanaburi,13.880,99.440
4,920115,Nam Phut,9201,Mueang Trang,92,Trang,7.673,99.726
4,910602,Na Thon,9106,Thung  Wa,91,Satun,7.032,99.743
4,901402,Tha Chang,9014,Bang Klam,90,Songkhla,7.048,100.378
4,640106,Ban Kluai,6401,Mueang Sukhothai,64,Sukhothai,17.029,99.776
4,471701,Ban Phon,4717,Phon Na Kaeo,47,Sakon Nakhon,17.219,104.375
4,411106,Ban Chan,4111,Ban Dung,41,Udon Thani,17.796,103.296
4,820803,Bang Thong,8208,Thai Mueang,82,Phang-nga,8.418,98.354
4,270201,Khlong Hat,2702,Khlong Hat,27,Sa kaeo,13.429,102.329
4,411001,Nong Kung Thap Ma,4110,Wang Sam Mo,41,Udon Thani,17.019,103.472
4,250112,Noen Hom,2501,Mueang Prachin Buri,25,Prachin Buri,14.181,101.378
4,390113,Na Kham Hai,3901,Mueang Nong Bua Lam Phu,39,Nong Bua Lam Phu,17.280,102.304
4,320202,Na Nong Phai,3202,Chumphon Buri,32,Surin,15.376,103.487
4,370501,Senangkha Nikhom,3705,Senangkhanikhom,37,Amnat Charoen,16.056,104.685
4,200303,Nong Suea Chang,2003,Nong Yai,20,Chon Buri,13.117,101.283
4,490506,Ban Kho,4905,Khamcha-i,49,Mukdahan,16.701,104.352
4,320508,Khok Yang,3205,Prasat,32,Surin,14.673,103.529
