TAMBON_E,AM_ID,AMPHOE_E,CH_ID,CHANGWAT_E,LAT,LONG
Thap Thai,2703,Ta Phraya,27,Sa kaeo,14.123,102.845
Na Sak,8607,Sawi,86,Chumphon,10.177,99
Na Nong Thum,4005,Chum Phae,40,Khon Kaen,16.767,101.98
Wang Khoi,6009,Phaisali,60,Nakhon Sawan,15.598,100.761
Huai Yang,3403,Khong Chiam,34,Ubon Ratchathani,15.467,105.455
Patthawi,2205,Makham,22,Chanthaburi,12.743,102.272
Na Sok,4901,Mueang Mukdahan,49,Mukdahan,16.487,104.522
That,4203,Chiang Khan,42,Loei,17.738,101.847
Phai Khiao,6103,Sawang Arom,61,Uthai Thani,15.623,99.762
Tha Khanon,8408,Khiri Rat Nikhom,84,Surat Thani,9.075,98.874
Nong Yang Suea,1911,Muak Lek,19,Saraburi,14.789,101.27
Pon,5508,Thung Chang,55,Nan,19.535,100.975
Su-Ngai Padi,9611,Su-ngai Padi,96,Narathiwat,6.161,101.931
Samrong Chai,6009,Phaisali,60,Nakhon Sawan,15.524,100.633
Na Sak,5202,Mae Mo,52,Lampang,18.343,99.836
Mueang Yao,5212,Hang Chat,52,Lampang,18.269,99.2
Ban Fai,5304,Nam Pat,53,Uttaradit,17.74,100.758
Ban Kho,4810,Phon Sawan,48,Nakhon Phanom,17.473,104.264
Ko Mak,9306,Pak Phayun,93,Phatthalung,7.435,100.329
Non Sa-At,3904,Si Bun Rueang,39,Nong Bua Lam Phu,16.977,102.176
Kan Throm,3308,Khun Han,33,Si Sa Ket,14.575,104.353
Phru Tiao,8102,Khao Phanom,81,Krabi,8.258,99.128
Sa Khwan,2701,Mueang Sa Kaeo,27,Sa kaeo,13.763,102.008
Mae Nang Khao,8206,Khura Buri,82,Phang-nga,9.154,98.404
Thung Krabam,7110,Lao Khwan,71,Kanchanaburi,14.616,99.586
Kaem On,7002,Chom Bueng,70,Ratchaburi,13.74,99.428
Thap Luang,6106,Ban Rai,61,Uthai Thani,15.054,99.603
Mae Ho Phra,5006,Mae Taeng,50,Chiang Mai,19.117,99.072
Wang Mai,2709,Wang Sombun,27,Sa kaeo,13.413,102.039
Samrong,3421,Pho Sai,34,Ubon Ratchathani,15.728,105.494
Salui,8602,Tha Sae,86,Chumphon,10.835,99.233
Ban Lamnao,8017,Bang Khan,80,Nakhon Si Thammarat,7.968,99.417
Ouan,5505,Pua,55,Nan,19.029,100.998
Wang Hin,6301,Mueang Tak,63,Tak,16.786,99.231
Bang Hin,8503,Papoe,85,Ranong,9.525,98.581
Khuan Thong,8015,Khanom,80,Nakhon Si Thammarat,9.181,99.782
Pla Ba,4207,Phu Ruea,42,Loei,17.318,101.439
Tha Duang,6707,Nong Phai,67,Phetchabun,16.001,101.301
Li,5104,Li,51,Lamphun,17.79,98.986
Huai Bo Suen,4204,Pak Chom,42,Loei,17.73,101.986
Rong Kho,5207,Wang Nuea,52,Lampang,18.992,99.601
Thung Khwao,5213,Mueang Pan,52,Lampang,18.57,99.47
Chan Phen,4714,Tao Ngoi,47,Sakon Nakhon,16.925,104.155
Tapan,8417,Phunphin,84,Surat Thani,8.866,99.087
Pa Dangbesa,9010,Sadao,90,Songkhla,6.74,100.241
Fai Kwang,5603,Chiang Kham,56,Phayao,19.394,100.244
Lat Khae,6702,Chon Daen,67,Phetchabun,15.983,100.839
Pa Miang,5005,Doi Saket,50,Chiang Mai,18.935,99.243
Thung Tam Sao,9011,Hat Yai,90,Songkhla,6.9,100.244
Puan Phu,4214,Nong Hin,42,Loei,17.031,101.741
Na Sanun,6706,Si Thep,67,Phetchabun,15.527,101.136
Na Khao,8102,Khao Phanom,81,Krabi,8.343,98.966
